layer,mean_top20_fraction,mean_gini,std_gini,n_samples
4,0.9517917037010193,0.9974109149199877,0.0007325142311526974,26
8,0.9463344812393188,0.9973877878821441,0.0007125946938262708,26
12,0.9518157243728638,0.9973928452507791,0.0005257116934629613,25
16,0.9615952372550964,0.9978174468851096,0.001005438016644996,25
20,0.9444071054458618,0.997162045398721,0.0008114575483285563,25
24,0.9548039436340332,0.9975211392419837,0.000910025346938045,25
28,0.9768330454826355,0.9984163931019457,0.0005020014455053758,24
32,0.9762236475944519,0.9983307160776933,0.0007126475225293598,24
